Model,Success,CV R²,Test R²,Test RMSE,Test MAE,Test MAPE,Normalized RMSE,Best Hyperparameters,
Ridge,True,0.3451298644749701,0.48224847750159605,59.44556927976902,49.37166614018655,0.24946481630663248,0.15317075310427472,{'alpha': 10.0},
BayesianRidge,True,0.3311101530724282,0.47974710048186653,59.58899388703074,49.55835130897095,0.24854559680924135,0.15354030890757725,"{'alpha_1': 1e-06, 'lambda_1': 0.0001}",
Lasso,True,0.3261179697720612,0.4716058363243014,60.05342814427468,50.014574331523534,0.249881376831961,0.15473699599143179,{'alpha': 1.0},
GradientBoosting,True,0.49881089775674425,0.42779333628050276,62.4935583214356,53.21949787518254,0.29132854015018117,0.16102437083595877,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",
MLP,True,0.3820737599711463,0.3812698880072112,64.98444652111496,48.87270584444018,0.23688564411603427,0.16744253161843586,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",
ExtraTrees,True,0.5271080368275592,0.37222775982768064,65.45756593042348,53.28193722267508,0.2929689090763456,0.168661597347136,"{'max_depth': 10, 'n_estimators': 200}",
RandomForest,True,0.5100330367088078,0.34080102296194903,67.07598523699744,55.30497452432486,0.29679443107601383,0.17283170635660253,"{'max_depth': 10, 'n_estimators': 100}",
AdaBoost,True,0.44296133407971966,0.31706538418871355,68.27290167535239,56.63817023518069,0.31997294296161055,0.175915747681918,"{'learning_rate': 0.1, 'n_estimators': 100}",
XGBoost,True,0.4872793423255957,0.29387042900269933,69.42261964516814,59.39921875,0.2989306987250987,0.1788781748136257,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",
HistGradientBoosting,True,0.41319352324216324,0.28691190337711214,69.76384227969194,55.82810737501823,0.3013324465590976,0.1797573879919916,"{'learning_rate': 0.05, 'max_depth': 3, 'max_iter': 100}",
SVR,True,0.5721836319423208,0.2411845581431854,71.96591941635499,58.36561324878799,0.30742330076074914,0.18543138216015198,"{'C': 100, 'kernel': 'rbf'}",
DecisionTree,True,0.15043013782482229,0.1740468167160426,75.08211775349179,64.23428571428572,0.344253223225461,0.1934607517482396,"{'max_depth': 5, 'min_samples_split': 2}",
KNN,True,0.4878954774420586,0.07889835192084271,79.28893377418831,64.32904761904761,0.35845545239876486,0.20430026739033316,{'n_neighbors': 3},
